Stat,output_Run_1_Performance_1_initial.csv
PRPCVersion, 7.4.0(not_for_customer_distribution)
BuildLabel,PRPC-HEAD-4547
BuildDate,2017-10-07 00.38 EDT
TestStart,null
TestEnd,null
TestElapsedMinutes,0.0
isValidRun,true
WorkCreated,0
WorkInWorkList,0
PerfStatsCreated,0
Application,null
TotalLines,18058
ErrorCount,0
DebugCount,0
WarnCount,1038
InfoCount,11111
ExceptionCount,0
GCTotalEvents,0
GCTotalMajor,0
GCTotalMinor,0
GCTotalOther,0
GCTotalDuration,0.0
GCTotalGarbage,0.0
GCTotalPreCollection,0.0
GCTotalPostCollection,0.0
GCMaxDuration,0.0
GCMaxGarbage,0.0
GCMaxPreCollection,0.0
GCMaxPostCollection,0.0
Compilations_POST,0
Compilations_PRE,0
NonShared_POST,0
NonShared_PRE,0
RulesetNames_POST,65
RulesetNames_PRE,65
SharedInContextAssembly_POST,0
SharedInContextAssembly_PRE,0
SharedUnique_POST,0
SharedUnique_PRE,0
Shared_POST,0
Shared_PRE,0
ShippedAssemblies_POST,37582
ShippedAssemblies_PRE,37582
pr4_base_classes_POST,5206
pr4_base_classes_PRE,5206
pr4_rule_property_POST,35017
pr4_rule_property_PRE,35017
pr4_rule_sysgen_POST,71441
pr4_rule_sysgen_PRE,71441
pr4_rule_vw_POST,162020
pr4_rule_vw_PRE,162020
pr_assembledclasses_POST,70234
pr_assembledclasses_PRE,70234
pr_engineclasses_POST,165064
pr_engineclasses_PRE,165064
pr_sys_app_hierarchy_flat_POST,0
pr_sys_app_hierarchy_flat_PRE,0
pr_sys_app_ruleset_index_POST,0
pr_sys_app_ruleset_index_PRE,0
pr_sys_appcache_dep_POST,282152
pr_sys_appcache_dep_PRE,282152
pr_sys_appcache_entry_POST,26218
pr_sys_appcache_entry_PRE,26218
pr_sys_appcache_shortcut_POST,62015
pr_sys_appcache_shortcut_PRE,62015
pr_sys_cache_dep_POST,0
pr_sys_cache_dep_PRE,0
PYWALLSECONDS,1265187.576
PYERRORCOUNT,10993.481
PYSTDEV,35691.051999999996
